Note,Base URL,Created time,Date,Files,Related to Areas Database,Related to Projects Database,Related to Resources Database,Type,URL,Updated time
[ECL] Essential,,"June 17, 2025 8:02 PM",06/17/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"June 23, 2025 7:59 PM"
ISO 標準中的 FAS 解析,bellcert.com,"June 17, 2025 10:10 PM",06/17/2025 22:09 (GMT+8),,[CC] Financial (https://www.notion.so/CC-Financial-1ff406f9700780959857f59c3bca3cb0?pvs=21),[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21),Fixed Assets (https://www.notion.so/Fixed-Assets-5b30143ba0ff4516930efe5854b28f9b?pvs=21),Research,"https://www.bellcert.com/article.php?NO=M11103019#:~:text=%E8%B3%87%E7%94%A2%E7%AE%A1%E7%90%86%E7%B3%BB%E7%B5%B1%E5%BC%B7%E8%AA%BF%E3%80%8C%E9%A2%A8%E9%9A%AA,%E5%83%B9%E5%80%BC%E6%9C%80%E5%A4%A7%E5%8C%96%E7%9A%84%E5%8E%9F%E5%89%87%E3%80%82","June 23, 2025 9:26 AM"
[DMS] Andrew C# Class,,"June 18, 2025 10:07 AM",06/18/2025,,[CC] Software Engineering (https://www.notion.so/CC-Software-Engineering-200406f970078083b2abd5d36bfd3989?pvs=21),,,Notes,,"June 18, 2025 10:08 AM"
小波分析 - 維基百科，自由的百科全書,zh.wikipedia.org,"June 18, 2025 1:51 PM",06/18/2025 13:51 (GMT+8),,,,,Research,https://zh.wikipedia.org/zh-tw/%E5%B0%8F%E6%B3%A2%E5%88%86%E6%9E%90,"June 18, 2025 1:51 PM"
[DMS] 閒置報表,,"June 18, 2025 3:54 PM",06/18/2025,,,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21),,,,"June 18, 2025 3:55 PM"
[ECL] Life Situation,,"June 18, 2025 6:59 PM",06/18/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"June 18, 2025 7:23 PM"
What’s AI Enrichment In Azure AI Search？,,"June 18, 2025 11:54 PM",06/18/2025,,[CC] AI (https://www.notion.so/CC-AI-1f1406f9700781318b64f05aa67744ba?pvs=21),Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21),Azure AI (https://www.notion.so/Azure-AI-203406f9700780bfa07ac87397d1ad98?pvs=21),Notes,,"June 25, 2025 4:31 PM"
Indexer overview - Azure AI Search,learn.microsoft.com,"June 19, 2025 8:54 AM",06/19/2025 8:54 (GMT+8),,[CC] AI (https://www.notion.so/CC-AI-1f1406f9700781318b64f05aa67744ba?pvs=21),Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21),Azure AI (https://www.notion.so/Azure-AI-203406f9700780bfa07ac87397d1ad98?pvs=21),Research,https://learn.microsoft.com/en-us/azure/search/search-indexer-overview#document-cracking,"June 19, 2025 8:54 AM"
[DMS] 固定資產折舊方法,,"June 19, 2025 1:38 PM",06/19/2025,,[CC] Financial (https://www.notion.so/CC-Financial-1ff406f9700780959857f59c3bca3cb0?pvs=21),[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21),Fixed Assets (https://www.notion.so/Fixed-Assets-5b30143ba0ff4516930efe5854b28f9b?pvs=21),Documentation,,"June 27, 2025 1:21 PM"
"[DMS] 五國固定資產折舊法規整合報告 ",,"June 19, 2025 3:56 PM",06/19/2025,,[CC] Financial (https://www.notion.so/CC-Financial-1ff406f9700780959857f59c3bca3cb0?pvs=21),[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21),Fixed Assets (https://www.notion.so/Fixed-Assets-5b30143ba0ff4516930efe5854b28f9b?pvs=21),Notes,,"June 19, 2025 3:57 PM"
[DMS] 直線法折舊詳細解析與各國差異比較,,"June 19, 2025 3:58 PM",06/19/2025,,[CC] Financial (https://www.notion.so/CC-Financial-1ff406f9700780959857f59c3bca3cb0?pvs=21),[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21),Fixed Assets (https://www.notion.so/Fixed-Assets-5b30143ba0ff4516930efe5854b28f9b?pvs=21),Notes,,"June 26, 2025 10:26 AM"
[DMS] Pricing Invoice,,"June 19, 2025 5:22 PM",06/19/2025,,,,Azure (https://www.notion.so/Azure-217406f9700780989abce11890ff9fd0?pvs=21),,,"June 19, 2025 5:27 PM"
六個人的小世界－我的朋友怎麼剛好他也認識？,medium.com,"June 19, 2025 11:08 PM",06/19/2025 23:04 (GMT+8),,[CC] Network (https://www.notion.so/CC-Network-1f1406f97007814c8f77f5e4ced30dfb?pvs=21),,Sales (https://www.notion.so/Sales-217406f97007800d9d56cafdaab038e7?pvs=21),Research,https://medium.com/marketingdatascience/%E5%85%AD%E5%80%8B%E4%BA%BA%E7%9A%84%E5%B0%8F%E4%B8%96%E7%95%8C-%E6%88%91%E7%9A%84%E6%9C%8B%E5%8F%8B%E6%80%8E%E9%BA%BC%E5%89%9B%E5%A5%BD%E4%BB%96%E4%B9%9F%E8%AA%8D%E8%AD%98-a479c5f981c3,"June 19, 2025 11:08 PM"
(1376) Vector Databases simply explained! (Embeddings & Indexes) - YouTube - AssemblyAI,youtube.com,"June 20, 2025 8:58 AM",06/20/2025 8:58 (GMT+8),,[CC] Software Engineering (https://www.notion.so/CC-Software-Engineering-200406f970078083b2abd5d36bfd3989?pvs=21),Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21),Azure AI (https://www.notion.so/Azure-AI-203406f9700780bfa07ac87397d1ad98?pvs=21),Research,https://www.youtube.com/watch?v=dN0lsF2cvm4,"June 20, 2025 8:58 AM"
[DMS] FineBI 報表,,"June 20, 2025 9:39 AM",06/20/2025,,[CC] Software Engineering (https://www.notion.so/CC-Software-Engineering-200406f970078083b2abd5d36bfd3989?pvs=21),[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21),Fixed Assets (https://www.notion.so/Fixed-Assets-5b30143ba0ff4516930efe5854b28f9b?pvs=21),Notes,,"July 9, 2025 10:17 PM"
[ECL] Life Situation,,"June 20, 2025 7:01 PM",06/20/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"June 23, 2025 7:59 PM"
Zeabur 講座活動,,"June 21, 2025 2:34 PM",06/21/2025,,[CC] Software Engineering (https://www.notion.so/CC-Software-Engineering-200406f970078083b2abd5d36bfd3989?pvs=21),,Azure AI (https://www.notion.so/Azure-AI-203406f9700780bfa07ac87397d1ad98?pvs=21),Notes,,"June 22, 2025 4:24 PM"
[AI Search] Partial 1-1 Search Step with Indexing Pipeline,,"June 22, 2025 7:34 PM",06/22/2025,,,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21),,Notes,,"June 25, 2025 11:36 PM"
[AI Search PE] Partial 1-2 Indexing Definition,,"June 22, 2025 8:13 PM",06/22/2025,,,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21),,Notes,,"June 25, 2025 11:36 PM"
Azure AI Search 的架構演進和產品定位,,"June 22, 2025 8:21 PM",06/22/2025,,,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21),,Thoughts,,"June 23, 2025 11:08 PM"
"Semantic Kernel vs. Azure AI Search ",,"June 22, 2025 8:29 PM",06/22/2025,,,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21),,Notes,,"June 23, 2025 11:08 PM"
[AI Search] Search Practical Exercise 1,,"June 22, 2025 9:57 PM",06/22/2025,,[CC] AI (https://www.notion.so/CC-AI-1f1406f9700781318b64f05aa67744ba?pvs=21),Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21),Azure AI (https://www.notion.so/Azure-AI-203406f9700780bfa07ac87397d1ad98?pvs=21),Notes,,"June 25, 2025 11:35 PM"
[DMS] 鞋業設備相關知識紀錄,,"June 23, 2025 2:50 PM",06/23/2025,,,"[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21), [DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)",Fixed Assets (https://www.notion.so/Fixed-Assets-5b30143ba0ff4516930efe5854b28f9b?pvs=21),Notes,,"June 23, 2025 3:25 PM"
[ECL] Essential,,"June 23, 2025 7:59 PM",06/23/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"June 23, 2025 8:53 PM"
[AI Search] Partial 2 e.g. Custom text classification skill (Azure AI Search 電影類型分類完整範例),,"June 24, 2025 12:19 AM",06/24/2025,,,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21),,Notes,,"June 25, 2025 11:35 PM"
AGV與AMR是什麼？兩者之間有什麼差異？ – 群輝商務科技,chci.com.tw,"June 24, 2025 1:16 PM",06/24/2025 13:16 (GMT+8),,[CC] IoT (https://www.notion.so/CC-IoT-202406f97007801988a3c2ea6b51d2d3?pvs=21),[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21),,Research,"https://chci.com.tw/what-is-the-difference-between-agv-and-amr/#:~:text=AGV%20%E6%98%AF%E9%81%B5%E7%85%A7%E6%97%A2%E5%AE%9A%E7%9A%84,%E5%9C%B0%E9%BB%9E%E7%9A%84%E6%9C%80%E4%BD%B3%E8%B7%AF%E7%B7%9A%E3%80%82","June 24, 2025 1:16 PM"
[CC] Quick Notes template,,"June 24, 2025 8:04 PM",06/24/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"June 24, 2025 9:01 PM"
[DMS] FAS DB Modification Log,,"June 25, 2025 9:18 AM",06/25/2025,,,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21),,Notes,,"June 25, 2025 10:20 AM"
"[AI Search] Partial 3 Core concept of the 3 Projection category ",,"June 25, 2025 11:34 PM",06/25/2025,,[CC] AI (https://www.notion.so/CC-AI-1f1406f9700781318b64f05aa67744ba?pvs=21),Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21),"Azure AI (https://www.notion.so/Azure-AI-203406f9700780bfa07ac87397d1ad98?pvs=21), Azure (https://www.notion.so/Azure-217406f9700780989abce11890ff9fd0?pvs=21)",Notes,,"June 25, 2025 11:41 PM"
[ECL] Life Situation,,"June 27, 2025 7:01 PM",06/27/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"June 27, 2025 7:23 PM"
對數 Logarithm,,"June 29, 2025 2:55 PM",06/29/2025,,[CC] AI (https://www.notion.so/CC-AI-1f1406f9700781318b64f05aa67744ba?pvs=21),Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21),Mathematics (https://www.notion.so/Mathematics-221406f9700780f0828cd9221e41b9dd?pvs=21),Notes,,"June 29, 2025 3:10 PM"
[AI Search] Partial 4 BM25 (Best Matching 25),,"June 29, 2025 3:24 PM",06/29/2025,,[CC] AI (https://www.notion.so/CC-AI-1f1406f9700781318b64f05aa67744ba?pvs=21),Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21),Mathematics (https://www.notion.so/Mathematics-221406f9700780f0828cd9221e41b9dd?pvs=21),Notes,,"July 3, 2025 10:34 PM"
[AI Search] Partial 4 白話圖解 - 什麼是 TF-IDF,ywctech.net,"June 29, 2025 3:27 PM",06/29/2025 15:27 (GMT+8),,[CC] AI (https://www.notion.so/CC-AI-1f1406f9700781318b64f05aa67744ba?pvs=21),Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21),Mathematics (https://www.notion.so/Mathematics-221406f9700780f0828cd9221e41b9dd?pvs=21),Research,https://ywctech.net/ml-ai/what-is-tfidf/#idf-%E7%82%BA%E4%BB%80%E9%BA%BC%E7%94%A8-log-%E5%B0%8D%E6%95%B8,"July 6, 2025 3:04 PM"
[AI Search] Partial 4 白話圖解 - 什麼是 BM25,ywctech.net,"June 29, 2025 3:28 PM",06/29/2025 15:28 (GMT+8),,[CC] AI (https://www.notion.so/CC-AI-1f1406f9700781318b64f05aa67744ba?pvs=21),Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21),Mathematics (https://www.notion.so/Mathematics-221406f9700780f0828cd9221e41b9dd?pvs=21),Research,https://ywctech.net/ml-ai/what-is-bm25/,"July 6, 2025 3:09 PM"
[AI Search] Partial 4 TF-IDF (Term Frequency- Inverse Document Frequency ),,"June 29, 2025 3:51 PM",06/29/2025,,[CC] AI (https://www.notion.so/CC-AI-1f1406f9700781318b64f05aa67744ba?pvs=21),Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21),"Mathematics (https://www.notion.so/Mathematics-221406f9700780f0828cd9221e41b9dd?pvs=21), Azure AI (https://www.notion.so/Azure-AI-203406f9700780bfa07ac87397d1ad98?pvs=21)",Notes,,"June 30, 2025 10:26 PM"
Embedding Model,,"June 29, 2025 4:42 PM",06/29/2025,,[CC] AI (https://www.notion.so/CC-AI-1f1406f9700781318b64f05aa67744ba?pvs=21),Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21),Azure AI (https://www.notion.so/Azure-AI-203406f9700780bfa07ac87397d1ad98?pvs=21),Notes,,"June 29, 2025 5:53 PM"
[AI Search] Partial 4 Azure AI Search 多語言架構解析,,"June 29, 2025 5:53 PM",06/29/2025,,[CC] AI (https://www.notion.so/CC-AI-1f1406f9700781318b64f05aa67744ba?pvs=21),Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21),Azure AI (https://www.notion.so/Azure-AI-203406f9700780bfa07ac87397d1ad98?pvs=21),Notes,,"June 29, 2025 5:56 PM"
[DMS] FAS 發表報告,,"June 30, 2025 9:10 AM",06/30/2025,,[CC] Career Development (https://www.notion.so/CC-Career-Development-1f1406f970078170ad46f3ca86d81d59?pvs=21),[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21),Fixed Assets (https://www.notion.so/Fixed-Assets-5b30143ba0ff4516930efe5854b28f9b?pvs=21),Notes,,"July 18, 2025 11:36 AM"
禾亞皮作坊 - 淺談【鞋面針車】,hoyabag.com,"June 30, 2025 9:34 AM",06/30/2025 9:33 (GMT+8),,,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21),,Research,https://www.hoyabag.com/2023/08/23/singer18/,"June 30, 2025 9:34 AM"
[DMS] Weekly Meeting Note,,"June 30, 2025 4:01 PM",06/30/2025,,[CC] Career Development (https://www.notion.so/CC-Career-Development-1f1406f970078170ad46f3ca86d81d59?pvs=21),,,Notes,,"July 22, 2025 3:28 PM"
維度表空值處理,,"June 30, 2025 9:18 PM",06/30/2025,Data_Warehouse%E7%B6%AD%E5%BA%A6%E8%A1%A8%E7%A9%BA%E5%80%BC%E8%99%95%E7%90%86.docx,,,Data Warehouse (https://www.notion.so/Data-Warehouse-222406f9700780a69554dcfb418960a2?pvs=21),,,"June 30, 2025 9:18 PM"
[ECL] Essential,,"July 3, 2025 8:01 PM",07/03/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"July 3, 2025 8:51 PM"
[DMS] AI Proposal (大綜、PGi、碩網),,"July 4, 2025 11:20 AM",07/04/2025,AI_%E6%8F%90%E6%A1%88%E4%B8%80%E9%A0%81%E5%BC%8F%E5%A0%B1%E5%91%8A_V1.docx,[CC] AI (https://www.notion.so/CC-AI-1f1406f9700781318b64f05aa67744ba?pvs=21),[DMS] AI Agent (https://www.notion.so/DMS-AI-Agent-22b406f9700780999811eb4d0a2307b0?pvs=21),,Notes,,"October 29, 2025 2:42 PM"
[ECL] Life Situation,,"July 4, 2025 7:02 PM",07/04/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"July 7, 2025 4:49 PM"
資料檢索技術 - Index 在文章裡面的呈現&倒排索引(Inverted Index),medium.com,"July 6, 2025 4:35 PM",07/06/2025 16:34 (GMT+8),,[CC] Software Engineering (https://www.notion.so/CC-Software-Engineering-200406f970078083b2abd5d36bfd3989?pvs=21),Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21),Azure AI (https://www.notion.so/Azure-AI-203406f9700780bfa07ac87397d1ad98?pvs=21),Research,https://medium.com/willhanchen/%E8%B3%87%E8%A8%8A%E8%BB%9F%E9%AB%94%E7%9F%A5%E8%AD%98-%E8%B3%87%E6%96%99%E6%AA%A2%E7%B4%A2%E6%8A%80%E8%A1%93-%E5%80%92%E6%8E%92%E7%B4%A2%E5%BC%95-inverted-index-58308a399be8,"July 6, 2025 4:35 PM"
Ilya Rice: How I Won the Enterprise RAG Challenge,abdullin.com,"July 6, 2025 4:58 PM",07/06/2025 16:58 (GMT+8),,[CC] AI (https://www.notion.so/CC-AI-1f1406f9700781318b64f05aa67744ba?pvs=21),Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21),,Research,https://abdullin.com/ilya/how-to-build-best-rag/,"July 6, 2025 4:58 PM"
[ECL] Essential Adventure,,"July 6, 2025 7:59 PM",07/06/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"July 6, 2025 8:51 PM"
RAG (Retrieval-Augment Generation),,"July 6, 2025 11:12 PM",07/06/2025,,"[CC] AI (https://www.notion.so/CC-AI-1f1406f9700781318b64f05aa67744ba?pvs=21), [CC] Software Engineering (https://www.notion.so/CC-Software-Engineering-200406f970078083b2abd5d36bfd3989?pvs=21)","Building a RAG software  (https://www.notion.so/Building-a-RAG-software-228406f9700780df907be05de09349ff?pvs=21), Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)","Azure (https://www.notion.so/Azure-217406f9700780989abce11890ff9fd0?pvs=21), Azure AI (https://www.notion.so/Azure-AI-203406f9700780bfa07ac87397d1ad98?pvs=21)",Notes,,"July 6, 2025 11:36 PM"
[ECL] Essential,,"July 7, 2025 7:57 PM",07/07/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"July 7, 2025 8:49 PM"
整理 FAS 資產所用的 SQL,,"July 8, 2025 6:16 PM",07/08/2025,,,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21),,Notes,,"July 8, 2025 6:17 PM"
[ECL] Essential,,"July 8, 2025 8:03 PM",07/08/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"July 8, 2025 8:54 PM"
[DMS] Supplier - GBOS 光博士,,"July 9, 2025 2:15 PM",07/09/2025,%E5%85%89%E5%8D%9A%E5%A3%ABIOTJSON%E6%9C%8D%E5%8A%A1%E5%99%A8%E6%8E%A5%E5%8F%A3202309201.pdf,,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21),,Notes,,"September 19, 2025 6:09 PM"
Investment Strategy Tracking,,"July 9, 2025 10:18 PM",07/09/2025,,[CC] Financial (https://www.notion.so/CC-Financial-1ff406f9700780959857f59c3bca3cb0?pvs=21),,Stock (https://www.notion.so/Stock-22b406f97007800ca494e05a94daf7a1?pvs=21),Notes,,"September 14, 2025 11:04 PM"
[DMS] QubicX bargain,,"July 10, 2025 10:55 AM",07/10/2025,,,[DMS] AI Agent (https://www.notion.so/DMS-AI-Agent-22b406f9700780999811eb4d0a2307b0?pvs=21),,Notes,,"July 10, 2025 11:05 AM"
內部報酬率IRR是什麼？優缺點分析,oanda.com,"July 10, 2025 6:38 PM",07/10/2025 18:37 (GMT+8),,[CC] Career Development (https://www.notion.so/CC-Career-Development-1f1406f970078170ad46f3ca86d81d59?pvs=21),[DMS] AI Agent (https://www.notion.so/DMS-AI-Agent-22b406f9700780999811eb4d0a2307b0?pvs=21),Project Management (https://www.notion.so/Project-Management-1fe406f97007809d931ff6c3e0784faa?pvs=21),Research,https://www.oanda.com/bvi-ft/lab-education/invest_us_stock/irr/,"July 10, 2025 8:02 PM"
[ESL] Essential,,"July 10, 2025 8:03 PM",07/10/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"July 10, 2025 8:52 PM"
"[DMS] FAS 常用 SQL ",,"July 11, 2025 2:44 PM",07/11/2025,,,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21),,Notes,,"October 13, 2025 1:20 PM"
ROI 方法論 – ROI 研究所,roiinstitute.net,"July 11, 2025 3:47 PM",07/11/2025 15:46 (GMT+8),,"[CC] Manufacturer (https://www.notion.so/CC-Manufacturer-20d406f9700780a1a265def77f22426d?pvs=21), [CC] Career Development (https://www.notion.so/CC-Career-Development-1f1406f970078170ad46f3ca86d81d59?pvs=21)",[DMS] AI Agent (https://www.notion.so/DMS-AI-Agent-22b406f9700780999811eb4d0a2307b0?pvs=21),,Research,https://roiinstitute.net/roi-methodology/,"July 11, 2025 3:47 PM"
[DMS] Supplier - 騰玉龍上膠,,"July 11, 2025 3:48 PM",07/11/2025,,,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21),,Notes,,"September 22, 2025 10:29 AM"
[ECL] Life Situation,,"July 11, 2025 6:58 PM",07/11/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"July 11, 2025 7:29 PM"
Multi Label Classification Instruction & Azure Language 使用情境,,"July 13, 2025 6:01 PM",07/13/2025,,[CC] AI (https://www.notion.so/CC-AI-1f1406f9700781318b64f05aa67744ba?pvs=21),Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21),,Notes,,"July 17, 2025 12:00 AM"
Azure AI Language project life circle,,"July 13, 2025 6:44 PM",07/13/2025,,[CC] AI (https://www.notion.so/CC-AI-1f1406f9700781318b64f05aa67744ba?pvs=21),Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21),Azure AI (https://www.notion.so/Azure-AI-203406f9700780bfa07ac87397d1ad98?pvs=21),Notes,,"July 13, 2025 6:45 PM"
Azure AI Language vs. Embedding vs. RAG,,"July 13, 2025 7:00 PM",07/13/2025,,[CC] AI (https://www.notion.so/CC-AI-1f1406f9700781318b64f05aa67744ba?pvs=21),Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21),"Azure AI (https://www.notion.so/Azure-AI-203406f9700780bfa07ac87397d1ad98?pvs=21), Azure (https://www.notion.so/Azure-217406f9700780989abce11890ff9fd0?pvs=21)",Notes,,"July 13, 2025 7:03 PM"
[ECL] Essential,,"July 13, 2025 7:56 PM",07/13/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"July 13, 2025 8:51 PM"
[ECL] Essential,,"July 15, 2025 8:03 PM",07/15/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"July 15, 2025 8:48 PM"
Named Entity Recognition (NER) in Python: Pre-Trained & Custom Models - YouTube - NeuralNine,youtube.com,"July 16, 2025 12:13 AM",07/16/2025 0:13 (GMT+8),,[CC] AI (https://www.notion.so/CC-AI-1f1406f9700781318b64f05aa67744ba?pvs=21),Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21),Azure AI (https://www.notion.so/Azure-AI-203406f9700780bfa07ac87397d1ad98?pvs=21),Research,https://www.youtube.com/watch?v=JIz-hiRrZ2g,"July 30, 2025 3:04 PM"
"Blockchain News ",,"July 16, 2025 12:22 AM",07/15/2025,,[CC] Blockchain (https://www.notion.so/CC-Blockchain-1ff406f9700780e0a4ffc964f5c78f83?pvs=21),,,News,,"July 16, 2025 10:28 AM"
[ECL] Life Situation,,"July 16, 2025 7:04 PM",07/16/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"July 16, 2025 10:57 PM"
[DMS] Supplier - EMMA 愛瑪切割機,,"July 17, 2025 6:10 PM",07/09/2025,,,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21),,Notes,,"October 23, 2025 5:11 PM"
[ECL] Essential,,"July 17, 2025 8:01 PM",07/17/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"July 17, 2025 8:43 PM"
FineBI 打卡營 (for competition),,"July 18, 2025 12:22 AM",07/18/2025,,[CC] Data Analysis (https://www.notion.so/CC-Data-Analysis-200406f97007801a8550d5bd0612c988?pvs=21),FineBi 台灣地震分析 (analysis competition)  (https://www.notion.so/FineBi-analysis-competition-228406f9700780098232de446c11fcdd?pvs=21),,Notes,,"July 18, 2025 12:27 AM"
